Age,Both sexes,Both sexes,Male,Male,Female,Female
Age groups,Number,Percent,Number,Percent,Number,Percent
All ages,324356.00,100.00,159028.00,100.00,165328.00,100.00
   .Under 5 years,19736.00,6.10,10094.00,6.30,9642.00,5.80
   .5 to 9 years,20212.00,6.20,10328.00,6.50,9884.00,6.00
   .10 to 14 years,20827.00,6.40,10650.00,6.70,10177.00,6.20
   .15 to 19 years,20849.00,6.40,10545.00,6.60,10304.00,6.20
   .20 to 24 years,21254.00,6.60,10716.00,6.70,10538.00,6.40
   .25 to 29 years,23277.00,7.20,11792.00,7.40,11485.00,6.90
   .30 to 34 years,21932.00,6.80,10935.00,6.90,10997.00,6.70
   .35 to 39 years,21443.00,6.60,10629.00,6.70,10814.00,6.50
   .40 to 44 years,19584.00,6.00,9628.00,6.10,9956.00,6.00
   .45 to 49 years,20345.00,6.30,9993.00,6.30,10351.00,6.30
   .50 to 54 years,20355.00,6.30,9930.00,6.20,10425.00,6.30
   .55 to 59 years,21163.00,6.50,10046.00,6.30,11117.00,6.70
   .60 to 64 years,20592.00,6.30,9819.00,6.20,10773.00,6.50
   .65 to 69 years,17356.00,5.40,8198.00,5.20,9158.00,5.50
   .70 to 74 years,14131.00,4.40,6691.00,4.20,7440.00,4.50
   .75 to 79 years,9357.00,2.90,4233.00,2.70,5124.00,3.10
   .80 to 84 years,6050.00,1.90,2519.00,1.60,3532.00,2.10
   .85 years and over,5893.00,1.80,2282.00,1.40,3611.00,2.20
,        ,        ,        ,        ,        ,        
   .Under 15 years,60774.00,18.70,31072.00,19.50,29703.00,18.00
   .15 to 17 years,13018.00,4.00,6656.00,4.20,6363.00,3.80
   .18 to 20 years,11851.00,3.70,5931.00,3.70,5920.00,3.60
   .21 to 44 years,103469.00,31.90,51658.00,32.50,51811.00,31.30
   .45 to 64 years,82455.00,25.40,39789.00,25.00,42666.00,25.80
   .65 years and over,52788.00,16.30,23923.00,15.00,28865.00,17.50
,,,,,,
Median age,38.30,(X)      ,37.10,(X)      ,39.50,(X)      
"SOURCE: U.S. Census Bureau, Current Population Survey, Annual Social and Economic Supplement, 2019.",,,,,,
Internet release date: April 2020,,,,,,
