Age,Both sexes,Both sexes,Male,Male,Female,Female
Age groups,Number,Percent,Number,Percent,Number,Percent
All ages,320372.00,100.00,156939.00,100.00,163433.00,100.00
   .Under 5 years,19954.00,6.20,10201.00,6.50,9752.00,6.00
   .5 to 9 years,20349.00,6.40,10388.00,6.60,9961.00,6.10
   .10 to 14 years,20667.00,6.50,10538.00,6.70,10129.00,6.20
   .15 to 19 years,20891.00,6.50,10608.00,6.80,10282.00,6.30
   .20 to 24 years,21591.00,6.70,10879.00,6.90,10713.00,6.60
   .25 to 29 years,22745.00,7.10,11410.00,7.30,11335.00,6.90
   .30 to 34 years,21505.00,6.70,10711.00,6.80,10795.00,6.60
   .35 to 39 years,20773.00,6.50,10281.00,6.60,10492.00,6.40
   .40 to 44 years,19273.00,6.00,9454.00,6.00,9819.00,6.00
   .45 to 49 years,20662.00,6.40,10118.00,6.40,10543.00,6.50
   .50 to 54 years,21364.00,6.70,10449.00,6.70,10915.00,6.70
   .55 to 59 years,21837.00,6.80,10587.00,6.70,11250.00,6.90
   .60 to 64 years,19488.00,6.10,9154.00,5.80,10334.00,6.30
   .65 to 69 years,16750.00,5.20,7907.00,5.00,8843.00,5.40
   .70 to 74 years,12462.00,3.90,5759.00,3.70,6702.00,4.10
   .75 to 79 years,8545.00,2.70,3877.00,2.50,4668.00,2.90
   .80 to 84 years,5645.00,1.80,2438.00,1.60,3207.00,2.00
   .85 years and over,5872.00,1.80,2178.00,1.40,3694.00,2.30
,        ,        ,        ,        ,        ,        
   .Under 15 years,60969.00,19.00,31127.00,19.80,29842.00,18.30
   .15 to 17 years,13078.00,4.10,6642.00,4.20,6436.00,3.90
   .18 to 20 years,11983.00,3.70,6131.00,3.90,5852.00,3.60
   .21 to 44 years,101718.00,31.70,50570.00,32.20,51147.00,31.30
   .45 to 64 years,83351.00,26.00,40308.00,25.70,43042.00,26.30
   .65 years and over,49274.00,15.40,22160.00,14.10,27114.00,16.60
,,,,,,
Median age,38.00,(X)      ,36.80,(X)      ,39.20,(X)      
Internet release date: August 2019,,,,,,
