Age,Both sexes,Both sexes,Male,Male,Female,Female
Age groups,Number,Percent,Number,Percent,Number,Percent
All ages,323156.00,100.00,158426.00,100.00,164730.00,100.00
   .Under 5 years,19929.00,6.20,10193.00,6.40,9736.00,5.90
   .5 to 9 years,20243.00,6.30,10338.00,6.50,9905.00,6.00
   .10 to 14 years,20812.00,6.40,10607.00,6.70,10204.00,6.20
   .15 to 19 years,20908.00,6.50,10617.00,6.70,10291.00,6.20
   .20 to 24 years,21434.00,6.60,10809.00,6.80,10625.00,6.40
   .25 to 29 years,23160.00,7.20,11674.00,7.40,11486.00,7.00
   .30 to 34 years,21695.00,6.70,10816.00,6.80,10878.00,6.60
   .35 to 39 years,21269.00,6.60,10567.00,6.70,10701.00,6.50
   .40 to 44 years,19391.00,6.00,9504.00,6.00,9887.00,6.00
   .45 to 49 years,20638.00,6.40,10123.00,6.40,10515.00,6.40
   .50 to 54 years,20899.00,6.50,10217.00,6.40,10682.00,6.50
   .55 to 59 years,21622.00,6.70,10503.00,6.60,11120.00,6.80
   .60 to 64 years,20078.00,6.20,9399.00,5.90,10679.00,6.50
   .65 to 69 years,17007.00,5.30,8047.00,5.10,8961.00,5.40
   .70 to 74 years,13359.00,4.10,6294.00,4.00,7066.00,4.30
   .75 to 79 years,8912.00,2.80,3944.00,2.50,4968.00,3.00
   .80 to 84 years,5647.00,1.70,2506.00,1.60,3141.00,1.90
   .85 years and over,6154.00,1.90,2270.00,1.40,3885.00,2.40
   .Under 15 years,60984.00,18.90,31138.00,19.70,29846.00,18.10
   .15 to 17 years,12979.00,4.00,6582.00,4.20,6397.00,3.90
   .18 to 20 years,12243.00,3.80,6248.00,3.90,5996.00,3.60
   .21 to 44 years,102633.00,31.80,51157.00,32.30,51476.00,31.20
   .45 to 64 years,83237.00,25.80,40242.00,25.40,42995.00,26.10
   .65 years and over,51080.00,15.80,23059.00,14.60,28021.00,17.00
Median age,38.10,0      ,37.00,0      ,39.30,0      
