Age,Both sexes,Both sexes,Male,Male,Female,Female
Age groups,Number,Percent,Number,Percent,Number,Percent
All ages,308827.00,100.00,151175.00,100.00,157653.00,100.00
   .Under 5 years,20110.00,6.50,10273.00,6.80,9837.00,6.20
   .5 to 9 years,20416.00,6.60,10427.00,6.90,9989.00,6.30
   .10 to 14 years,20605.00,6.70,10529.00,7.00,10076.00,6.40
   .15 to 19 years,21239.00,6.90,10840.00,7.20,10399.00,6.60
   .20 to 24 years,21878.00,7.10,10987.00,7.30,10891.00,6.90
   .25 to 29 years,20893.00,6.80,10430.00,6.90,10464.00,6.60
   .30 to 34 years,20326.00,6.60,10034.00,6.60,10292.00,6.50
   .35 to 39 years,19140.00,6.20,9421.00,6.20,9719.00,6.20
   .40 to 44 years,20787.00,6.70,10255.00,6.80,10532.00,6.70
   .45 to 49 years,21583.00,7.00,10584.00,7.00,11000.00,7.00
   .50 to 54 years,22372.00,7.20,10906.00,7.20,11466.00,7.30
   .55 to 59 years,20470.00,6.60,9879.00,6.50,10592.00,6.70
   .60 to 64 years,17501.00,5.70,8278.00,5.50,9223.00,5.80
   .65 to 69 years,13599.00,4.40,6461.00,4.30,7139.00,4.50
   .70 to 74 years,9784.00,3.20,4519.00,3.00,5265.00,3.30
   .75 to 79 years,7331.00,2.40,3122.00,2.10,4209.00,2.70
   .80 to 84 years,5786.00,1.90,2421.00,1.60,3365.00,2.10
   .85 years and over,5006.00,1.60,1809.00,1.20,3196.00,2.00
   .Under 15 years,61131.00,19.80,31229.00,20.70,29902.00,19.00
   .15 to 17 years,12977.00,4.20,6666.00,4.40,6311.00,4.00
   .18 to 20 years,12756.00,4.10,6535.00,4.30,6221.00,3.90
   .21 to 44 years,98530.00,31.90,48765.00,32.30,49765.00,31.60
   .45 to 64 years,81926.00,26.50,39646.00,26.20,42280.00,26.80
   .65 years and over,41507.00,13.40,18332.00,12.10,23174.00,14.70
Median age,37.30,0,36.10,0,38.50,0
