Age,Both sexes,Both sexes,Male,Male,Female,Female
Age groups,Number,Percent,Number,Percent,Number,Percent
All ages,306110.00,100.00,150643.00,100.00,155466.00,100.00
   .Under 5 years,21265.00,6.90,10869.00,7.20,10396.00,6.70
   .5 to 9 years,20870.00,6.80,10667.00,7.10,10203.00,6.60
   .10 to 14 years,20020.00,6.50,10237.00,6.80,9783.00,6.30
   .15 to 19 years,20886.00,6.80,10691.00,7.10,10196.00,6.60
   .20 to 24 years,21525.00,7.00,10960.00,7.30,10565.00,6.80
   .25 to 29 years,21382.00,7.00,10917.00,7.20,10464.00,6.70
   .30 to 34 years,20202.00,6.60,10067.00,6.70,10135.00,6.50
   .35 to 39 years,19255.00,6.30,9542.00,6.30,9713.00,6.20
   .40 to 44 years,20587.00,6.70,10172.00,6.80,10415.00,6.70
   .45 to 49 years,21989.00,7.20,10800.00,7.20,11189.00,7.20
   .50 to 54 years,21965.00,7.20,10695.00,7.10,11270.00,7.20
   .55 to 59 years,19554.00,6.40,9499.00,6.30,10055.00,6.50
   .60 to 64 years,17430.00,5.70,8447.00,5.60,8983.00,5.80
   .65 to 69 years,12160.00,4.00,5600.00,3.70,6561.00,4.20
   .70 to 74 years,9254.00,3.00,4242.00,2.80,5012.00,3.20
   .75 to 79 years,7088.00,2.30,3065.00,2.00,4023.00,2.60
   .80 to 84 years,5719.00,1.90,2370.00,1.60,3349.00,2.20
   .85 years and over,4957.00,1.60,1804.00,1.20,3153.00,2.00
   .Under 15 years,62155.00,20.30,31773.00,21.10,30382.00,19.50
   .15 to 17 years,12761.00,4.20,6570.00,4.40,6191.00,4.00
   .18 to 20 years,12515.00,4.10,6377.00,4.20,6138.00,3.90
   .21 to 44 years,98562.00,32.20,49402.00,32.80,49159.00,31.60
   .45 to 64 years,80939.00,26.40,39441.00,26.20,41498.00,26.70
   .65 years and over,39179.00,12.80,17081.00,11.30,22098.00,14.20
Median age,36.80,0,35.50,0,38.10,0
