Age,Both sexes,Both sexes,Male,Male,Female,Female
Age groups,Number,Percent,Number,Percent,Number,Percent
All ages,311116.00,100.00,152335.00,100.00,158781.00,100.00
   .Under 5 years,19917.00,6.40,10176.00,6.70,9741.00,6.10
   .5 to 9 years,20536.00,6.60,10490.00,6.90,10046.00,6.30
   .10 to 14 years,20640.00,6.60,10558.00,6.90,10082.00,6.30
   .15 to 19 years,20970.00,6.70,10672.00,7.00,10299.00,6.50
   .20 to 24 years,22153.00,7.10,11134.00,7.30,11019.00,6.90
   .25 to 29 years,21138.00,6.80,10628.00,7.00,10510.00,6.60
   .30 to 34 years,20659.00,6.60,10189.00,6.70,10470.00,6.60
   .35 to 39 years,19221.00,6.20,9461.00,6.20,9759.00,6.10
   .40 to 44 years,20657.00,6.60,10162.00,6.70,10495.00,6.60
   .45 to 49 years,21060.00,6.80,10319.00,6.80,10742.00,6.80
   .50 to 54 years,22386.00,7.20,10926.00,7.20,11460.00,7.20
   .55 to 59 years,20880.00,6.70,10099.00,6.60,10781.00,6.80
   .60 to 64 years,17611.00,5.70,8224.00,5.40,9387.00,5.90
   .65 to 69 years,14437.00,4.60,6900.00,4.50,7537.00,4.70
   .70 to 74 years,10264.00,3.30,4704.00,3.10,5561.00,3.50
   .75 to 79 years,7598.00,2.40,3233.00,2.10,4364.00,2.70
   .80 to 84 years,5692.00,1.80,2490.00,1.60,3202.00,2.00
   .85 years and over,5296.00,1.70,1971.00,1.30,3325.00,2.10
, , , , , , 
   .Under 15 years,61093.00,19.60,31224.00,20.50,29869.00,18.80
   .15 to 17 years,13094.00,4.20,6664.00,4.40,6430.00,4.00
   .18 to 20 years,12136.00,3.90,6121.00,4.00,6015.00,3.80
   .21 to 44 years,99569.00,32.00,49461.00,32.50,50107.00,31.60
   .45 to 64 years,81937.00,26.30,39568.00,26.00,42370.00,26.70
   .65 years and over,43287.00,13.90,19298.00,12.70,23990.00,15.10
,,,,,,
Median age,37.30,(X),36.10,(X),38.50,(X)
Internet release date:  March 2016,,,,,,
